# GO accession	GO term name	GO domain(F:molecular_function,P:biological_process)	PSI-MI id	PSI-MI term name
GO:0005478	transporter activity	F	MI:0915	physical association
GO:0016407	acetyltransferase activity	F	MI:0192	acetylation reaction
GO:0019213	deacetylase activity	F	MI:0197	deacetylation reaction
GO:0016310	phosphorylation	P	MI:0217	phosphorylation
GO:0033218	amide binding	F	MI:0557	amidation reaction
GO:0003950	NAD+ ADP-ribosyltransferase activity	F	MI:0557	adp ribosylation reaction
GO:1990404	protein ADP-ribosylase activity	F	MI:0557	adp ribosylation reaction
GO:0016876	ligase activity, forming aminoacyl-tRNA and related compounds	F	MI:1143	aminoacylation reaction  ### possible 1-n
GO:0070733	protein adenylyltransferase activity	F	MI:1148	ampylation reaction
GO:0008233	peptidase activity	F	MI:0194	cleavage reaction
GO:0004649	poly(ADP-ribose) glycohydrolase activity	F	MI:1310	de-ADP-ribosylation reaction
GO:0018277	protein deamination	P	MI:0985	deamination reaction
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	F	MI:0558	deglycosylation reaction
GO:0032451	demethylase activity	F	MI:0871	demethylation reaction
GO:0019784	NEDD8-specific protease activity	F	MI:0569	deneddylation reaction
GO:0016791	phosphatase activity	F	MI:0203	dephosphorylation reaction
GO:0016926	protein desumoylation	P	MI:0568	desumoylation reaction  ### x
GO:0101005	ubiquitinyl hydrolase activity	F	MI:0204	deubiquitination reaction
GO:0018256	protein formylation	P	MI:0207	formylation reaction
GO:0004479	methionyl-tRNA formyltransferase activity	F	MI:0207	formylation reaction
GO:0016757	transferase activity, transferring glycosyl groups	F	MI:0559	glycosylation reaction
GO:0018126	protein hydroxylation	P	MI:0210	hydroxylation reaction
GO:0016853	isomerase activity	F	MI:1250	isomerase reaction
GO:0006497	protein lipidation	P	MI:0211	lipid addition
GO:0043414 	macromolecule methylation	P	MI:0213	methylation reaction
GO:0045116	protein neddylation	P	MI:0567	neddylation reaction
GO:0017111	nucleoside-triphosphatase activity	F	MI:0881	nucleoside triphosphatase reaction
GO:0016887	ATPase activity	F	MI:0882	atpase reaction
GO:0003924	GTPase activity	F	MI:0883	gtpase reaction
GO:0016491	oxidoreductase activity	F	MI:0945	oxidoreductase activity electron transfer reaction
GO:0004620	phospholipase activity	F	MI:1146	phospholipase reaction
GO:0018215	protein phosphopantetheinylation	P	MI:0971	phosphopantetheinylation
GO:0008897	holo-[acyl-carrier-protein] synthase activity	F	MI:0971	phosphopantetheinylation
GO:0018119	peptidyl-cysteine S-nitrosylation	P	MI:2263	s-nitrosylation
GO:0016783	sulfurtransferase activity	F	MI:1327	sulfurtransfer reaction
GO:0016925	protein sumoylation	P	MI:0566	sumoylation reaction
GO:0018322	protein tyrosinylation	P	MI:2272	tyrosinylation
GO:0004835	tubulin-tyrosine ligase activity	F	MI:2272	tyrosinylation
GO:0070569	uridylyltransferase activity	F	MI:1230	uridylation reaction
GO:0004842	ubiquitin-protein transferase activity	F	MI:0220	ubiquitination
GO:0016567	protein ubiquitination	P	MI:0220	ubiquitination
GO:0016984	ribulose-bisphosphate carboxylase activity	F	MI:1139	carboxylation reaction
GO:0018802	2,4-dihydroxyhept-2-ene-1,7-dioate aldolase activity	F	MI:1139	carboxylation reaction
GO:0018803	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase activity	F	MI:1139	carboxylation reaction
GO:0008488	gamma-glutamyl carboxylase activity	F	MI:1139	carboxylation reaction
GO:0004425	indole-3-glycerol-phosphate synthase activity	F	MI:1139	carboxylation reaction
GO:0008694	3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity	F	MI:1139	carboxylation reaction
GO:0004611	phosphoenolpyruvate carboxykinase activity	F	MI:1139	carboxylation reaction
GO:0004638	phosphoribosylaminoimidazole carboxylase activity	F	MI:1139	carboxylation reaction
GO:0009028	tartronate-semialdehyde synthase activity	F	MI:1139	carboxylation reaction
GO:0043727	5-amino-4-imidazole carboxylate lyase activity	F	MI:1139	carboxylation reaction
GO:0048040	UDP-glucuronate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050410	3-oxolaurate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047842	dehydro-L-gulonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047858	dihydroxyfumarate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047923	gentisate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047556	3,4-dihydroxyphthalate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047575	4-carboxymuconolactone decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004014	adenosylmethionine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004058	aromatic-L-amino-acid decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004068	aspartate 1-decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004163	diphosphomevalonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0048472	threonine-phosphate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047990	hydroxyglutamate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047997	hydroxypyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050080	malonyl-CoA decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050095	methionine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050150	o-pyrocatechuate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050159	orsellinate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050167	pantothenoylcysteine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050174	phenylalanine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047596	6-methylsalicylate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047602	acetoacetate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047605	acetolactate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047613	aconitate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018791	2-hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018792	bis(4-chlorophenyl)acetate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018793	3,5-dibromo-4-hydroxybenzoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018794	2-hydroxyisobutyrate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018795	2-hydroxy-2-methyl-1,3-dicarbonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018796	4,5-dihydroxyphthalate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018798	gallate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018799	4-hydroxybenzoate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018800	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0018801	glutaconyl-CoA decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050177	phenylpyruvate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050223	protocatechuate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004351	glutamate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004398	histidine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0004492	methylmalonyl-CoA decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050296	stipitatonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050319	tartrate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050374	UDP-galacturonate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050382	uracil-5-carboxylate decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0050390	valine decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047431	3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase activity	F	MI:1140	decarboxylation reaction
GO:0047432	2,2-dialkylglycine decarboxylase (pyruvate) activity	F	MI:1140	decarboxylation reaction
GO:0047433	branched-chain-2-oxoacid decarboxylase activity	F	MI:1140	decarboxylation reaction
